created_year,created_month,created_dayofweek,created_hour,is_weekend,Borough,Community Board,Incident Zip,City,Location Type,Address Type,Latitude,Longitude,y
2017,8,3,0,0,BROOKLYN,Unspecified BROOKLYN,11212,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.66168609,-73.91842565,120.0
2017,5,3,0,0,QUEENS,12 QUEENS,Other,Jamaica,1-2 Family Dwelling,ADDRESS,40.68843475,-73.79544128,192.0
2017,2,2,0,0,BRONX,Other,Other,BRONX,3+ Family Apt. Building,ADDRESS,40.87037584,-73.90278124,48.0
2017,2,2,0,0,BROOKLYN,04 BROOKLYN,11221,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69402721,-73.91762879,64.54638889
2017,2,2,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.75946397,-73.96359285,144.0
2017,2,2,0,0,MANHATTAN,12 MANHATTAN,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.83749389,-73.94331951,48.0
2017,8,3,0,0,BROOKLYN,02 BROOKLYN,Other,BROOKLYN,1-2 Family Mixed Use Building,INTERSECTION,40.70309992,-73.98664829,792.0
2017,8,3,0,0,BROOKLYN,Unspecified BROOKLYN,11211,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.71552312,-73.94887746,264.0
2017,8,3,0,0,QUEENS,Unspecified QUEENS,Other,Other,Catch Basin/Sewer,INTERSECTION,40.67978822,-73.85255517,528.0
2017,8,3,0,0,BROOKLYN,Unspecified BROOKLYN,11217,BROOKLYN,Other (Explain Below),ADDRESS,40.67930292,-73.97215601,312.0
2017,8,4,0,0,BROOKLYN,04 BROOKLYN,11237,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69925567,-73.91718235,264.0
2017,5,4,0,0,BROOKLYN,Unspecified BROOKLYN,Other,BROOKLYN,Other (Explain Below),LATLONG,40.63998992,-73.99431053,96.0
2017,2,3,0,0,BROOKLYN,Other,Other,BROOKLYN,1-2 Family Dwelling,ADDRESS,40.57890078,-73.96100214,40.38555556
2017,2,3,0,0,MANHATTAN,08 MANHATTAN,10128,NEW YORK,3+ Family Apt. Building,ADDRESS,40.78141606,-73.9483394,120.0
2017,7,1,0,0,MANHATTAN,Other,Other,NEW YORK,3+ Family Apt. Building,ADDRESS,40.74016037,-74.00346789,185.7033333
2017,2,3,0,0,BROOKLYN,04 BROOKLYN,11221,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.69721933,-73.92149441,24.0
2017,2,3,0,0,BRONX,Unspecified BRONX,10456,BRONX,Other (Explain Below),LATLONG,40.83468222,-73.90104098,120.0
2017,7,2,0,0,BROOKLYN,Unspecified BROOKLYN,11226,BROOKLYN,Construction Site,LATLONG,40.64903357,-73.96271615,168.0
2017,7,2,0,0,BROOKLYN,Other,11215,BROOKLYN,3+ Family Apt. Building,ADDRESS,40.6591532,-73.98528748,216.0
2017,2,5,0,1,MANHATTAN,Unspecified MANHATTAN,10009,NEW YORK,Catch Basin/Sewer,BLOCKFACE,40.71659247,-73.93730207,72.0
2017,5,1,0,0,BROOKLYN,Unspecified BROOKLYN,11215,BROOKLYN,Other (Explain Below),INTERSECTION,40.66688745,-73.98158018,155.0688889
2017,5,1,0,0,BROOKLYN,Unspecified BROOKLYN,11216,BROOKLYN,Vacant Building,BLOCKFACE,40.68272292,-73.95488776,480.0
2017,7,0,0,0,QUEENS,Unspecified QUEENS,Other,Woodside,1-2 Family Dwelling,ADDRESS,40.7367759,-73.90562117,552.0
2017,7,0,0,0,MANHATTAN,Unspecified MANHATTAN,10025,NEW YORK,1-2 Family Dwelling,ADDRESS,40.79122454,-73.96764552,552.0
2017,7,3,0,0,QUEENS,Unspecified QUEENS,Other,Woodside,1-2 Family Dwelling,ADDRESS,40.7367759,-73.90562117,480.0
2017,2,5,0,1,MANHATTAN,Other,Other,NEW YORK,Vacant Lot,INTERSECTION,40.75529211,-73.99492151,72.0
2017,7,2,0,0,BRONX,Unspecified BRONX,Other,BRONX,Vacant Lot,LATLONG,40.82994281,-73.85720545,672.0
2017,5,1,0,0,QUEENS,Unspecified QUEENS,11385,RIDGEWOOD,1-2 Family Dwelling,LATLONG,40.70318479,-73.87340744,816.0
2017,5,1,0,0,BROOKLYN,Unspecified BROOKLYN,11216,BROOKLYN,Other (Explain Below),BLOCKFACE,40.6717483,-73.95237534,360.0
2017,5,1,0,0,BROOKLYN,Unspecified BROOKLYN,11238,BROOKLYN,3+ Family Apt. Building,BLOCKFACE,40.67608016,-73.96131304,648.0
2017,7,1,0,0,BRONX,Unspecified BRONX,10456,BRONX,3+ Family Apt. Building,ADDRESS,40.83172435,-73.91605986,360.0
2017,5,1,0,0,BRONX,04 BRONX,10456,BRONX,3+ Family Apt. Building,ADDRESS,40.83855708,-73.91388286,480.0
2017,7,1,0,0,BRONX,Unspecified BRONX,10452,BRONX,3+ Family Apt. Building,ADDRESS,40.83940241,-73.91758974,360.0
